onet_id,onet_title,ai_product_exposure_score,esco_title
11-1011.00,Chief Executives,0.9307888718121692,"airport chief executive,, chief executive officer,, chief operating officer,, secretary general,, social entrepreneur"
11-1011.03,Chief Sustainability Officers,1.1464990542117364,"corporate social responsibility manager,, environmental expert,, environmental programme coordinator,, sustainability manager"
11-1021.00,General and Operations Managers,0.6536203985461075,"airport director,, business manager,, chief operating officer,, library manager,, operations manager,, public administration manager,, strategic planning manager,, textile operations manager,, tourism product manager,, wood factory manager"
11-1031.00,Legislators,0.36298352206848566,"city councillor,, government minister,, governor,, mayor,, member of parliament,, secretary of state,, senator"
11-2011.00,Advertising and Promotions Managers,0.5406459212343027,"advertising manager,, advertising specialist,, promotion manager"
11-2021.00,Marketing Managers,0.9444044553114184,"chief marketing officer,, clothing development manager,, digital marketing manager,, marketing manager,, membership manager"
11-2022.00,Sales Managers,0.5403251808657284,"auction house manager,, category manager,, motor vehicle aftersales manager,, movie distributor,, online sales channel manager,, promotion manager,, sales account manager,, sales manager,, trade regional manager"
11-2032.00,Public Relations Managers,0.6193168748693059,"communication manager,, destination manager,, public affairs consultant,, public relations manager,, public relations officer,, spokesperson"
11-2033.00,Fundraising Managers,2.914277328904943e-4,"fundraising assistant,, fundraising manager,, programme funding manager"
11-3012.00,Administrative Services Managers,0.4835364695871798,"court administrator,, defence administration officer,, library manager,, membership manager,, office manager"
11-3013.00,Facilities Managers,0.8665981418460684,"facilities manager,, manufacturing facility manager,, real estate manager"
11-3013.01,Security Managers,0.22573396370660004,"airside safety manager,, hospitality establishment security officer,, security guard supervisor,, security manager"
11-3021.00,Computer and Information Systems Managers,1.1668981789277992,"aviation data communications manager,, chief information officer,, chief technology officer,, ICT operations manager,, ICT security manager"
11-3031.00,Financial Managers,0.69787941194129,"bank manager,, bank treasurer,, banking products manager,, brokerage firm director,, corporate treasurer,, financial manager,, pension scheme manager"
11-3031.01,Treasurers and Controllers,0.5750146808624462,"bank treasurer,, corporate treasurer,, financial controller,, financial manager,, public finance accountant"
11-3031.03,Investment Fund Managers,0.6593501789845164,"asset manager,, investment analyst,, investment fund manager,, investment manager,, mutual fund broker,, venture capitalist"
11-3051.00,Industrial Production Managers,1.0919050403810187,"chemical plant manager,, footwear product development manager,, footwear production manager,, foundry manager,, industrial production manager,, leather finishing operations manager,, leather goods product development manager,, leather goods production manager,, leather production manager,, manufacturing manager,, metal production manager,, metallurgical manager,, packaging production manager,, production supervisor"
11-3051.01,Quality Control Systems Managers,0.9125824397312152,"aquaculture quality supervisor,, construction quality manager,, footwear quality manager,, ICT quality assurance manager,, industrial quality manager,, leather goods quality manager,, quality engineer,, quality services manager,, textile process controller,, textile quality manager"
11-3051.02,Geothermal Production Managers,1.0291855597901494,"geothermal engineer,, power plant manager"
11-3051.03,Biofuels Production Managers,0.8756072515251633,"chemical plant manager,, chemical processing supervisor,, chemical production manager"
11-3051.04,Biomass Power Plant Managers,0.747801261763406,power plant manager
11-3051.06,Hydroelectric Production Managers,0.6423994706546086,"hydropower engineer,, power plant manager"
11-3061.00,Purchasing Managers,1.021429186194759,"leather raw materials purchasing manager,, procurement department manager,, purchasing manager,, standalone public buyer,, textile sourcing merchandiser"
11-3071.00,"Transportation, Storage, and Distribution Managers",0.6017558099418827,"agricultural machinery and equipment distribution manager,, agricultural raw materials, seeds and animal feeds distribution manager,, beverages distribution manager,, chemical products distribution manager,, china and glassware distribution manager,, clothing and footwear distribution manager,, coffee, tea, cocoa and spices distribution manager,, computers, computer peripheral equipment and software distribution manager,, dairy products and edible oils distribution manager,, distribution manager,, electrical household appliances distribution manager,, electronic and telecommunications equipment and parts distribution manager,, finished leather warehouse manager,, fish, crustaceans and molluscs distribution manager,, flowers and plants distribution manager,, fruit and vegetables distribution manager,, furniture, carpets and lighting equipment distribution manager,, hides, skins and leather products distribution manager,, household goods distribution manager,, import export manager,, import export manager in agricultural machinery and equipment,, import export manager in agricultural raw materials, seeds and animal feeds,, import export manager in beverages,, import export manager in chemical products,, import export manager in china and other glassware,, import export manager in clothing and footwear,, import export manager in coffee, tea, cocoa and spices,, import export manager in computers, computer peripheral equipment and software,, import export manager in dairy products and edible oils,, import export manager in electrical household appliances,, import export manager in electronic and telecommunications equipment and parts,, import export manager in fish, crustaceans and molluscs,, import export manager in flowers and plants,, import export manager in fruit and vegetables,, import export manager in furniture, carpets and lighting equipment,, import export manager in hardware, plumbing and heating equipment and supplies,, import export manager in hides, skins and leather products,, import export manager in household goods,, import export manager in live animals,, import export manager in machine tools,, import export manager in machinery, industrial equipment, ships and aircraft,, import export manager in meat and meat products,, import export manager in metals and metal ores,, import export manager in mining, construction and civil engineering machinery,, import export manager in office furniture,, import export manager in office machinery and equipment,, import export manager in perfume and cosmetics,, import export manager in pharmaceutical goods,, import export manager in sugar, chocolate and sugar confectionery,, import export manager in textile industry machinery,, import export manager in textiles and textile semi-finished and raw materials,, import export manager in tobacco products,, import export manager in waste and scrap,, import export manager in watches and jewellery,, import export manager in wood and construction materials,, inland water transport general manager,, intermodal logistics manager,, leather goods warehouse operator,, live animals distribution manager,, logistics and distribution manager,, machinery, industrial equipment, ships and aircraft distribution manager,, maritime water transport general manager,, meat and meat products distribution manager,, metals and metal ores distribution manager,, mining, construction and civil engineering machinery distribution manager,, perfume and cosmetics distribution manager,, pharmaceutical goods distribution manager,, pipeline superintendent,, port coordinator,, rail logistics coordinator,, rail operations manager,, road operations manager,, road transport division manager,, specialised goods distribution manager,, sugar, chocolate and sugar confectionery distribution manager,, textile industry machinery distribution manager,, textiles, textile semi-finished and raw materials distribution manager,, tobacco products distribution manager,, warehouse manager,, waste and scrap distribution manager,, watches and jewellery distribution manager,, wood and construction materials distribution manager"
11-3071.04,Supply Chain Managers,0.6284421558266134,"distribution manager,, logistics and distribution manager,, supply chain manager"
11-3111.00,Compensation and Benefits Managers,0.6200433616229861,human resources manager
11-3121.00,Human Resources Managers,0.5947580825731641,"human resources manager,, human resources officer,, resource manager"
11-3131.00,Training and Development Managers,1.0087212339895049,"corporate trainer,, corporate training manager"
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",-0.12435662024676933,"aquaculture hatchery manager,, aquaculture mooring manager,, aquaculture production manager,, aquaculture recirculation manager,, crop production manager,, farm manager,, horticulture production manager,, mixed farmer,, vineyard manager"
11-9021.00,Construction Managers,0.9185631433352774,"construction general contractor,, construction general supervisor,, construction manager,, construction quality manager"
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.5862363330170924,"child care coordinator,, child day care centre manager,, headteacher,, nursery school head teacher,, primary school head teacher"
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.4782190335968394,"deputy head teacher,, education administrator,, further education principal,, head of higher education institutions,, headteacher,, nursery school head teacher,, primary school head teacher,, secondary school department head,, secondary school head teacher"
